City,Country,Latitude,Longitude,Date,Wind_Speed,Pressure,Humidity,Temperature,Cloudiness
Elk City,US,35.412,-99.4043,1644075598.0,9.22,1030.0,59.0,26.92,0.0
Price,US,39.5994,-110.8107,1644075600.0,3.44,1028.0,73.0,16.54,0.0
Georgiyevskoye,RU,58.731,45.024,1644075601.0,5.84,1012.0,95.0,11.73,77.0
Plettenberg Bay,ZA,-34.0527,23.3716,1644075602.0,23.44,1016.0,76.0,72.48,2.0
umzimvubu,,,,,,,,,
Yellowknife,CA,62.456,-114.3525,1644075579.0,9.22,1022.0,83.0,-15.3,75.0
Dukat,RU,62.55,155.55,1644075606.0,2.19,1023.0,75.0,-22.49,3.0
Mahon,ES,39.8885,4.2658,1644075607.0,9.22,1024.0,71.0,55.96,75.0
Te Anau,NZ,-45.4167,167.7167,1644075609.0,2.42,1020.0,94.0,40.42,15.0
Hilo,US,19.7297,-155.09,1644075456.0,8.05,1018.0,92.0,68.22,100.0
Esperance,AU,-33.8667,121.9,1644075611.0,19.24,1010.0,69.0,69.64,2.0
Jamestown,US,42.097,-79.2353,1644075432.0,8.05,1027.0,47.0,14.79,100.0
Havelock,US,34.8791,-76.9013,1644075614.0,5.01,1027.0,69.0,42.19,75.0
İzmit,TR,40.7669,29.9169,1644075615.0,9.22,1017.0,47.0,43.97,0.0
Kahului,US,20.8947,-156.47,1644075543.0,4.61,1017.0,82.0,70.25,0.0
Bethel,US,41.3712,-73.414,1644075618.0,9.22,1021.0,79.0,21.34,75.0
Hermanus,ZA,-34.4187,19.2345,1644075619.0,22.06,1013.0,56.0,79.81,53.0
New Norfolk,AU,-42.7826,147.0587,1644075374.0,1.07,1028.0,62.0,57.97,100.0
Morristown,US,36.214,-83.2949,1644075622.0,0.0,1031.0,62.0,26.83,20.0
Hithadhoo,MV,-0.6,73.0833,1644075623.0,11.5,1011.0,74.0,82.69,100.0
nizhneyansk,,,,,,,,,
Husavik,IS,66.0449,-17.3389,1644075445.0,10.42,981.0,94.0,10.31,98.0
San Patricio,US,28.017,-97.5169,1644075597.0,7.47,1037.0,44.0,37.27,2.0
Puerto Maldonado,PE,-12.6,-69.1833,1644075628.0,6.91,1011.0,66.0,86.4,40.0
Pangai,TO,-19.8,-174.35,1644075629.0,23.4,1010.0,92.0,77.29,100.0
Vilyaka,LV,57.1846,27.6722,1644075630.0,6.87,998.0,98.0,31.73,100.0
Villarrica,PY,-25.75,-56.4333,1644075632.0,2.66,1010.0,96.0,72.14,100.0
Sørland,NO,67.667,12.6934,1644075519.0,28.01,965.0,80.0,40.48,88.0
illoqqortoormiut,,,,,,,,,
Lázaro Cárdenas,MX,17.9583,-102.2,1644075635.0,1.21,1018.0,62.0,78.24,2.0
Busselton,AU,-33.65,115.3333,1644075444.0,3.18,1004.0,73.0,71.04,0.0
Bluff,NZ,-46.6,168.3333,1644075638.0,6.26,1018.0,79.0,50.2,30.0
Rikitea,PF,-23.1203,-134.9692,1644075640.0,13.0,1021.0,73.0,78.58,41.0
Tasiilaq,GL,65.6145,-37.6368,1644075641.0,11.03,996.0,59.0,28.56,100.0
Ushuaia,AR,-54.8,-68.3,1644075617.0,18.41,1004.0,41.0,60.46,0.0
Puerto Ayora,EC,-0.7393,-90.3518,1644075644.0,3.0,1014.0,91.0,77.56,53.0
Pisco,PE,-13.7,-76.2167,1644075645.0,9.22,1014.0,83.0,69.85,52.0
Cayenne,GF,4.9333,-52.3333,1644075647.0,5.99,1012.0,81.0,83.08,75.0
Mataura,NZ,-46.1927,168.8643,1644075281.0,1.23,1019.0,98.0,40.46,15.0
Flagstaff,US,35.1981,-111.6513,1644075554.0,4.36,1028.0,42.0,26.74,0.0
Cape Town,ZA,-33.9258,18.4232,1644075463.0,5.01,1014.0,47.0,80.26,0.0
Kaitangata,NZ,-46.2817,169.8464,1644075652.0,4.9,1018.0,91.0,45.18,39.0
Bredasdorp,ZA,-34.5322,20.0403,1644075653.0,28.77,1016.0,64.0,72.72,28.0
Key Largo,US,25.0865,-80.4473,1644075655.0,6.55,1022.0,74.0,77.13,0.0
Shenzhen,CN,22.5455,114.0683,1644075620.0,4.5,1010.0,87.0,58.51,99.0
Ribeira Grande,PT,38.5167,-28.7,1644075657.0,11.5,1030.0,67.0,63.0,40.0
Talnakh,RU,69.4865,88.3972,1644075658.0,2.64,1019.0,100.0,-11.58,95.0
Upernavik,GL,72.7868,-56.1549,1644075660.0,3.42,1009.0,97.0,0.88,100.0
Cabo San Lucas,MX,22.8909,-109.9124,1644075366.0,4.61,1016.0,77.0,61.95,0.0
Skibbereen,IE,51.55,-9.2667,1644075663.0,31.09,1016.0,82.0,52.11,100.0
Abu Dhabi,AE,24.4667,54.3667,1644075543.0,4.61,1011.0,68.0,71.28,0.0
Zhigansk,RU,66.7697,123.3711,1644075665.0,5.59,1028.0,100.0,-31.77,100.0
Khatanga,RU,71.9667,102.5,1644075446.0,1.63,1021.0,100.0,-33.23,84.0
Seymchan,RU,62.8833,152.4333,1644075668.0,1.07,1027.0,100.0,-40.32,60.0
George Town,MY,5.4112,100.3354,1644075498.0,1.99,1010.0,81.0,80.91,40.0
Geraldton,AU,-28.7667,114.6,1644075670.0,3.44,1004.0,83.0,72.01,1.0
sinkat,,,,,,,,,
villa oliva,,,,,,,,,
Bandarbeyla,SO,9.4942,50.8122,1644075674.0,10.76,1011.0,67.0,76.17,15.0
Vaini,TO,-21.2,-175.2,1644075675.0,8.05,1008.0,100.0,75.36,100.0
